Symbols,Genes ,b05 Neutrophil1 Exp2,b07 Neutrophil3 Exp2,b10 Monocyte1 Exp2,b11 Monocyte2 Exp2,a01 brain microglia1 Exp1 m,a02 brain microglia2 Exp1 m,a06 peritoneum Mac1 Exp1 m,a07 peritoneum Mac2 Exp1 m,b08 Spleen Mac1 Exp2,b09 Spleen Mac2 Exp2,b04 Kupffer Exp2,b15 Kupffer2 Exp2,a12 LI Mac2 Exp1 m,a13 LI Mac3 Exp1 m,a10 SI Mac3 Exp1 m,a11 SI Mac4 Exp1 m,b02 lung Exp2,b17 lung mac2 Exp2
F930015N05RIK,NR_028445,0,0,0,0,0,0,1.26001576,0.902686859,0,0,0,0,4.715868797,6.979498755,3.931837493,2.655000396,0,0
OPLAH,NM_153122,1.377929067,2.19798054,1.704867622,0,1.879228121,12.97844392,1.26001576,0,53.81975984,64.27627123,141.3859734,81.76014542,47.15868797,45.36674191,23.59102496,45.13500674,39.19196623,26.56767064
RTKN,NM_001136227,0,0,0,0,0,0,0,0,0,1.460824346,1.039602746,20.18769023,11.78967199,13.95899751,11.79551248,1.327500198,0,0
ELOVL1,NM_019422,399.5994294,459.377933,148.3234831,214.050483,342.0195181,373.5937785,206.6425847,233.7958966,162.4559418,134.3958399,220.3957821,199.8581333,213.393063,217.5277112,135.367548,134.7412701,203.545373,137.2662983
ZC3H14,NM_001160108,31.69236854,12.08889297,23.0157129,17.64573874,10.8055617,31.51907809,6.300078801,20.31045433,8.471628864,10.22577042,10.91582883,13.12199865,34.19004878,28.79043237,19.0974964,18.58500277,5.373092145,11.06986277
ICK,NM_001163780,0,0,0,0,2.818842182,5.098674397,0,2.708060578,0,2.921648692,4.158410982,0,1.178967199,0.664714167,1.123382141,0,0.632128488,0
TATDN3,NM_001163421,1.377929067,8.791922162,10.22920573,18.41294477,11.27536873,11.1243805,28.98036249,19.8591109,24.91655548,21.91236519,16.63364393,11.10322963,18.86347519,9.887623237,8.425366057,18.58500277,11.37831278,11.06986277
5430435G22RIK,NM_145509,23.42479414,21.9798054,81.83364586,97.43516608,14.09421091,12.97844392,289.8036249,293.3732293,59.79973316,86.18863643,398.1678516,346.2188874,603.631206,499.034161,688.0715613,771.2776151,141.5967812,109.5916414
USP22,NM_001004143,11.02343254,17.58384432,8.524338111,9.206472386,47.9203171,41.71642688,20.16025216,8.124181734,4.983311097,4.382473039,6.237616473,10.09384511,8.252770394,12.21412282,10.67213034,9.956251486,34.76706682,8.855890214
BSCL2,NM_008144,216.3348635,138.472774,369.1038402,474.9005339,205.7754793,183.5522783,161.2820173,241.0173914,212.2890527,239.5751928,154.9008091,163.5202908,234.6144726,196.5892149,234.7868674,192.4875287,182.6851329,151.6571199
SALL3,NM_178280,0,0,0,0,241.4808136,258.6418467,1.26001576,1.805373719,0,0,0,0,0,0,0,0,0,0
NTM,NM_172290,0,0,0,0,12.21498279,6.489221959,0,0,1.993324439,1.460824346,2.079205491,4.037538046,1.178967199,0,0,0,0,0
COQ2,NM_027978,4.822751735,2.19798054,18.75354384,13.80970858,12.68478982,20.85821344,22.0502758,18.50508062,15.4482644,21.91236519,18.71284942,25.23461279,10.61070479,15.41305975,13.19974016,8.960626338,19.59598312,2.767465692
PCF11,NM_029078,15.15721974,17.58384432,16.19624241,10.74088445,6.577298425,14.83250734,13.86017336,6.318808015,6.976635535,1.460824346,2.079205491,18.16892121,3.536901597,4.65299917,3.370146423,3.318750495,1.896385463,5.534931383
LSM2,NM_030597,8.267574402,2.19798054,23.0157129,21.4817689,10.33575467,4.635158542,11.34014184,4.513434296,8.969959974,5.843297385,19.75245217,14.13138316,14.14760639,20.93849627,16.85073211,13.93875208,23.38875404,40.95849224
SUFU,NM_015752,0,0,0,0,0,0,1.26001576,1.805373719,0.996662219,0,0,0,0,0,0,0,0,0
PDE6H,NM_023898,43.40476561,17.58384432,0,0,0,0,0,0,0.996662219,0,0,0,1.178967199,4.65299917,2.246764282,3.385125505,0,0
PUS1,NM_019700,12.4013616,4.395961081,3.409735244,11.50809048,2.818842182,11.1243805,5.040063041,12.63761603,20.26546513,5.843297385,14.03463707,14.13138316,11.78967199,2.908124481,6.45944731,3.982500595,12.01044127,15.49780787
CBFA2T2,NM_009823,0,10.9899027,5.114602866,6.904854289,8.456526547,16.68657075,10.08012608,0,12.95660885,11.68659477,1.039602746,6.056307068,1.178967199,6.397873859,3.370146423,8.628751288,3.160642438,0
P2RX7,NM_001038845,0,4.395961081,1.704867622,8.439266353,33.82610619,11.1243805,6.300078801,15.34567661,3.986648877,4.382473039,19.75245217,8.075076091,15.32657359,30.8261195,61.78601775,109.5187664,8.849798827,1.106986277
LDLR,NM_010700,16.5351488,26.37576649,22.16327909,23.01618096,0,8.343285376,59.22074073,74.02032246,3.986648877,13.14741912,9.35642471,20.18769023,51.87455676,40.71374274,19.65918747,46.46250694,25.91726799,19.92575298
LMCD1,NM_144799,0,0,0,0,0,0,0,0,3.986648877,2.921648692,0,0,2.357934398,0,2.808455352,5.310000793,0,0
CHORDC1,NM_025844,16.5351488,4.395961081,14.66186155,9.973678418,11.27536873,25.95688784,17.64022064,34.60299627,14.94993329,2.191236519,14.55443844,20.18769023,9.431737593,20.35687137,18.53580532,21.90375327,5.689156389,8.855890214
AI467606,NM_178901,270.0740971,224.1940151,85.24338111,85.15986957,57.3164577,104.7545831,258.3032309,250.04426,5.979973316,4.382473039,0,7.06569158,42.44281917,37.80561826,31.45469994,47.79000713,43.61686565,50.92136873
ZFP1,NM_001037665,11.02343254,13.18788324,7.6719043,11.50809048,45.10147492,31.51907809,22.68028368,28.8859795,48.83644875,46.74637908,17.67324667,27.25338181,20.04244239,16.2854971,23.59102496,10.0668765,27.18152497,22.13972553
MYEF2,NM_010852,0,0,2.557301433,0,0,0.927031708,1.26001576,0,0,2.921648692,1.039602746,0,1.178967199,0,2.246764282,1.327500198,1.580321219,0
MFSD6,NM_133829,42.71580108,54.94951351,17.90111003,13.04250255,0.939614061,0,75.60094561,81.24181734,3.986648877,0,3.118808237,0,17.68450799,9.30599834,2.246764282,2.655000396,6.321284877,9.96287649
ZBTB1,NM_178744,6.889645335,6.593941621,4.262169055,8.439266353,33.82610619,16.68657075,7.560094561,2.708060578,4.983311097,8.764946077,5.198013728,1.009384511,4.715868797,4.65299917,4.493528564,1.991250297,8.217670339,2.213972553
MBD6,NM_033072,49.60544641,46.15759135,23.0157129,24.55059303,11.27536873,13.90547563,7.560094561,13.54030289,33.88651546,36.52060866,16.63364393,17.15953669,11.78967199,9.887623237,18.53580532,13.27500198,20.86024009,18.8187667
STX17,NM_026343,15.15721974,17.58384432,9.376771922,1.534412064,1.879228121,14.83250734,8.820110322,11.73492917,2.989986658,0,1.039602746,5.046922557,1.178967199,5.234624066,3.370146423,3.318750495,2.528513951,4.427945107
CCR1L1,NM_007718,0,0,0,0,0,2.781095125,5.040063041,0.902686859,1.993324439,0,0,0,0,0.581624896,0.56169107,3.318750495,0,0
CLPTM1,NM_019649,241.1375867,180.2344043,140.6515788,157.2772366,312.8914822,431.9967761,78.12097714,127.2788472,215.2790394,230.8102467,145.5443844,144.3419851,247.5831118,212.2930871,178.0560693,126.1125188,166.2497923,110.6986277
OTP,NM_011021,0,0,0,0,0,0,5.040063041,0,0,0,0,0,0,0,0.56169107,0,0,0
IQCJ-SCHIP1,NM_001113419,0,0,0,0,0,0,0,0,0,0,0,2.018769023,0,0.581624896,0,0,0,0
RSL1,NM_001013769,4.133787201,0,0.852433811,3.452427145,34.76572025,14.36899148,11.97014972,0.902686859,0.996662219,0,3.118808237,3.028153534,1.178967199,4.65299917,8.425366057,10.62000159,3.792770926,3.32095883
TMEM184C,NM_145599,4.133787201,6.593941621,0,6.904854289,1.879228121,4.635158542,13.86017336,11.73492917,2.989986658,5.843297385,4.158410982,0,11.78967199,5.816248963,9.548748198,3.982500595,2.528513951,21.03273926
3110062M04RIK,NM_199145,72.34127602,96.71114378,3.409735244,4.603236193,25.83938667,14.83250734,32.13040189,43.78031268,13.95327107,2.191236519,8.836623337,11.10322963,0,13.37737261,3.931837493,13.27500198,5.057027901,1.106986277
HEATR7B1,NM_001177364,0,0,0,0,0,0.927031708,0,0,0.996662219,0,0,0,0,0.581624896,2.808455352,0.663750099,0,1.106986277
USP19,NM_001168372,55.11716268,76.92931892,53.7033301,23.01618096,50.73915928,30.59204638,41.58052009,22.56717148,37.87316433,36.52060866,58.21775375,23.21584376,28.29521278,29.08124481,33.13977316,35.84250535,25.28513951,18.8187667
AQR,NM_009702,8.267574402,6.593941621,23.86814671,11.50809048,25.36957964,12.97844392,21.42026792,9.929555452,12.95660885,13.14741912,11.4356302,36.33784241,29.47417998,16.86712199,30.89300887,26.55000396,22.12449707,26.56767064
CRMP1,NM_007765,0,0,0,0,0,0,0,0,0,0,0,0,0,1.163249793,0,0,0,0
SRRM1,NM_001130477,77.85299229,85.72124108,70.32578941,70.19935194,70.00124752,61.18409276,68.04085105,58.22330242,185.3791728,174.5685094,128.9107405,172.1000592,28.29521278,36.64236846,71.05392041,82.63688734,148.5501946,122.3219836
VSIG8,NM_177723,0,0,0,0,0,0,0,0,0,1.460824346,0,0,1.178967199,0,0,0,0,0
SPNS3,NM_029932,16.5351488,43.95961081,4.262169055,11.50809048,35.70533431,74.16253668,0,3.610747437,19.93324439,4.382473039,2.079205491,9.084460603,9.431737593,19.19362158,12.91889462,12.61125188,0.632128488,0
ZFP397,NM_027007,6.889645335,4.395961081,7.6719043,3.068824129,8.456526547,32.4461098,27.72034673,5.506389842,14.94993329,8.764946077,6.237616473,16.15015218,9.431737593,8.724373444,7.301983916,5.973750892,6.953413364,8.855890214
RTF1,NM_030112,33.07029761,17.58384432,6.819470489,6.137648257,15.03382497,17.61360246,12.6001576,20.76179776,26.90987992,30.67731127,28.06927413,37.34722692,7.073803195,9.887623237,20.22087854,18.58500277,18.33172614,27.67465692
IGFALS,NM_008340,0,0,0,2.301618096,0,0,0,0,0,0,10.39602746,0,7.073803195,0.581624896,0,0,0,0
LSG1,NM_178069,12.4013616,6.593941621,40.06438912,20.71456287,21.6111234,13.90547563,34.02042553,19.8591109,34.88317768,58.43297385,53.01974002,42.39414948,22.40037678,29.08124481,33.13977316,22.56750337,30.97429589,1.106986277
TAF8,NM_022015,34.44822668,35.16768865,34.09735244,32.98985938,12.21498279,17.61360246,16.38020488,8.124181734,8.969959974,14.60824346,15.59404118,1.009384511,8.252770394,11.05087303,12.91889462,9.956251486,11.37831278,5.534931383
VPS28,NM_025842,524.9909745,562.6830184,245.5009376,258.5484328,200.1377949,175.2089929,176.4022064,241.9200783,238.2022704,170.9164485,196.4849189,157.4639838,149.7288343,279.7615751,190.974964,194.478779,326.1782996,174.9038317
9530091C08RIK,NR_033299,0,0.115683186,0,0,0,0,0,0,0.996662219,1.460824346,0,5.046922557,0,0,0,2.655000396,0.632128488,0
GPKOW,NM_173747,20.66893601,5.494951351,16.19624241,17.64573874,10.33575467,21.78524515,12.6001576,40.62090867,11.95994663,2.921648692,11.4356302,48.45045655,16.50554079,19.19362158,13.76143123,19.91250297,12.32650551,24.35369809
ARRDC4,NM_025549,17.91307787,17.58384432,51.99846248,40.6619197,2.818842182,7.416253668,21.42026792,39.71822181,5.979973316,10.22577042,32.22768511,16.15015218,36.54798317,31.98936929,33.13977316,75.6675113,83.44096037,80.8099982
A2LD1,NM_145466,1.377929067,0,0,1.534412064,0,12.05141221,15.12018912,10.83224231,8.969959974,8.764946077,8.316821965,4.037538046,5.894835996,2.908124481,6.178601775,3.982500595,6.321284877,0
NFATC1,NM_198429,31.69236854,39.56364973,29.83518339,23.01618096,51.67877334,32.4461098,23.94029944,22.56717148,12.95660885,11.68659477,8.316821965,3.028153534,18.86347519,20.35687137,25.83778924,26.55000396,22.75662556,24.35369809
D14ERTD449E,NM_026679,15.15721974,6.593941621,9.092627318,8.695001697,1.566023435,3.090105695,2.940036774,3.309851817,4.651090357,2.921648692,0.693068497,2.018769023,20.04244239,16.2854971,10.8593607,6.858751024,14.74966471,7.748903937
PCDH19,NM_001105246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.123382141,0,0,0
TTLL5,NM_001081423,0,0,5.967036677,0.767206032,0.939614061,0.927031708,0,23.46985834,3.986648877,4.382473039,8.316821965,21.19707474,1.178967199,3.489749378,3.370146423,3.318750495,6.953413364,1.106986277
CBFA2T3,NM_177289,24.80272321,8.791922162,222.4852247,223.2569554,155.03632,189.1144685,183.962301,203.1045433,8.969959974,27.75566258,6.237616473,56.52553264,175.6661127,116.9066041,105.5979212,117.4837675,41.72048018,46.49342362
ZFML,NM_001166371,12.4013616,15.38586378,7.6719043,4.219633177,7.516912486,6.025706105,12.6001576,1.354030289,8.969959974,4.382473039,3.118808237,5.046922557,8.842253994,2.617312033,10.67213034,4.646250694,2.528513951,26.0141775
PDCD1LG2,NM_021396,0,0,0,0,0.939614061,0,0,0,0,0,3.118808237,0,8.252770394,5.234624066,12.91889462,14.60250218,3.792770926,14.3908216
TNFRSF17,NM_011608,0,0,0,0,46.04108898,44.49752201,0,0.902686859,7.973297755,2.921648692,0,0,8.252770394,9.887623237,14.04227676,22.56750337,0.632128488,0
KLF4,NM_010637,57.18405628,59.34547459,823.0248446,456.8711921,372.5569751,112.6343526,189.4223693,181.4400587,54.81642206,84.72781208,337.8708923,129.7059097,231.077571,178.5588432,150.8140524,241.6050361,431.1116286,457.1853323
2010001M09RIK,NM_027222,16.5351488,0,0,0,0.939614061,0,1.26001576,0,46.84312431,73.04121731,3.118808237,14.13138316,11.78967199,18.03037178,80.32182307,162.6187743,5.057027901,8.855890214
ITGB3,NM_016780,132.2811904,160.4525795,53.7033301,39.89471367,120.2705998,152.9602319,49.14061465,49.64777726,8.969959974,7.304121731,1.039602746,1.009384511,0,2.326499585,1.825495979,18.58500277,3.160642438,3.32095883
GM1564,NM_001127576,0,0,0,0,8.456526547,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM116A,NM_001134465,0,2.19798054,11.08163954,2.301618096,23.49035152,33.3731415,3.780047281,9.929555452,7.973297755,5.843297385,8.316821965,6.056307068,17.68450799,6.397873859,20.22087854,22.56750337,8.217670339,3.32095883
CCDC148,NM_001001178,0,4.395961081,0,0,0,0,0,0,23.91989326,16.06906781,40.54450708,20.52415173,0,0,0,0,0,0
CSDC2,NM_145473,0,0,0,0,0,0,0,0,2.989986658,4.382473039,0,0,0,0,1.685073211,1.327500198,0,0
POT1B,NM_028370,12.4013616,6.593941621,8.737446563,21.09816588,10.33575467,5.098674397,18.9002364,27.08060578,60.29806427,85.57995962,79.70287716,53.83384061,11.78967199,9.596810788,17.13157765,13.27500198,9.23609957,14.3908216
TMEM176B,NM_001164209,8.267574402,48.35557189,244.6485038,190.267096,1778.689417,2003.315522,679.1484948,889.1465564,111.6261686,97.8752312,545.7914414,1071.966351,3357.698583,3375.169273,2922.47864,3868.999328,53.09879296,28.78164319
ZFP651,NM_001166644,4.133787201,0,0,0,11.27536873,14.83250734,28.98036249,27.08060578,1.993324439,1.460824346,3.118808237,3.028153534,3.536901597,2.326499585,2.808455352,8.628751288,8.217670339,0
EID2,NM_198425,0,0,0.852433811,0,22.60600887,25.1225593,1.26001576,4.566533523,8.969959974,5.843297385,8.316821965,10.09384511,4.715868797,3.489749378,0.56169107,0.663750099,7.585541852,8.855890214
MAPRE3,NM_133350,0,0,2.557301433,0.767206032,1.879228121,3.708126834,40.32050433,19.8591109,8.969959974,8.764946077,20.79205491,6.056307068,4.126385197,3.489749378,4.212683028,4.646250694,24.65301102,15.49780787
SYMPK,NM_026605,44.09373015,81.32528,57.11306534,54.47162828,14.09421091,47.27861713,79.3809929,86.65793849,69.76635535,59.8937982,90.44543887,95.89152858,63.66422875,72.12148714,67.40292845,43.14375644,75.22329003,66.4191766
SYNE2,NM_001005510,13.77929067,4.395961081,1.704867622,8.439266353,3.758456243,0,1.26001576,0.902686859,9.966622193,8.764946077,0,5.046922557,1.178967199,1.163249793,3.370146423,5.973750892,16.43534068,36.53054713
ENTPD1,NM_009848,97.83296376,101.1071049,28.13031577,17.64573874,540.2780849,726.7928594,64.26080377,75.82569618,148.5026707,165.0731511,255.7422754,221.055208,166.2343751,177.3955934,103.351157,121.4662681,39.19196623,50.92136873
PBLD1,NM_026701,0,0,0,0,0,0,0,0,0,0,1.039602746,0,0,0.581624896,0,0,0,1.106986277
CORO2A,NM_001164804,11.02343254,19.78182486,78.42391062,69.81574892,24.42996558,24.10282442,2.52003152,0.902686859,2.989986658,11.68659477,12.47523295,48.45045655,48.33765517,52.92786556,41.56513921,35.84250535,51.83453599,57.56328639
CDC34,NM_177613,398.9104649,306.6182854,213.5346697,269.2893173,119.3309857,142.2993673,166.3220804,155.7134832,152.9876507,124.9004816,198.5641244,89.33052926,171.5397275,160.8192838,167.9456301,173.2387759,213.3433646,218.0762965
KNCN,NM_001039124,0,4.395961081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.106986277
HES2,NM_008236,0,0,0,0,0,0,0,0,0,0,0,0,0,1.163249793,0,0,0,0
KLF9,NM_010638,39.95994294,24.17778594,34.09735244,49.10118606,17.85266715,0.927031708,318.7839873,231.087836,68.76969313,94.95358251,168.4156448,98.91968212,53.05352396,19.77524647,79.19844093,57.08250852,134.6433679,116.2335591
NFIA,NM_010905,6.889645335,6.593941621,3.409735244,0,41.34301867,16.68657075,50.40063041,110.1277968,21.92656883,11.68659477,20.79205491,30.28153534,5.894835996,13.37737261,7.301983916,24.55875367,12.64256975,3.32095883
6530418L21RIK,NM_001163356,0,0,0,0,0,0,0,10.83224231,1.993324439,0,0,0,1.178967199,1.163249793,0.56169107,0,0,0
TMEM62,NM_175285,0,2.19798054,2.557301433,9.206472386,0,10.19734879,11.34014184,0.902686859,11.95994663,10.22577042,0,8.075076091,10.61070479,0.581624896,1.685073211,7.965001189,3.160642438,2.213972553
B4GALNT1,NM_008080,93.69917656,74.73133838,123.6029026,113.5464928,32.88649213,37.08126834,34.02042553,41.52359553,64.78304426,68.65874427,10.39602746,17.15953669,110.8229167,87.82535934,137.0526212,90.93376358,253.4835235,272.3186241
FAM26F,NM_175449,4.133787201,10.9899027,54.55576391,41.42912574,61.07491395,59.33002934,11.34014184,16.24836347,145.512684,103.7185286,132.0295487,108.0041427,91.95944153,179.7220929,257.2545103,293.3775438,6.321284877,0
GBP1,NM_010259,1.377929067,0,0,0.767206032,2.818842182,3.708126834,214.2026792,225.6717148,0,1.460824346,54.05934277,67.62876226,78.99080234,76.19286141,232.5401032,202.4437802,0.632128488,0
B230120H23RIK,NM_023057,20.66893601,21.9798054,0,0.767206032,0,0,1.26001576,0,2.989986658,0,0,2.018769023,0,1.163249793,0,0,0,0
FMO5,NM_010232,249.4051611,369.2607308,14.49137479,4.603236193,20.67150934,25.95688784,55.44069345,39.71822181,29.89986658,7.304121731,18.71284942,63.59122422,4.715868797,15.7038722,21.90595175,13.27500198,17.06746917,23.24671181
UMPS,NM_009471,26.18065227,15.38586378,40.91682293,45.2651559,38.52417649,46.35158542,39.06048857,5.416121156,96.67623528,49.66802777,73.81179494,47.44107204,23.57934398,39.55049295,27.52286245,36.50625545,32.23855287,8.855890214
PIK3CD,NM_008840,71.65231149,79.12729946,92.0628516,86.69428163,225.5073746,232.6849588,60.48075649,76.72838304,148.5026707,179.6813946,86.28702788,81.76014542,89.60150714,78.519361,95.48748198,107.5275161,41.0883517,24.35369809
NIPAL3,NM_028995,11.02343254,28.57374703,14.49137479,8.439266353,14.09421091,25.95688784,28.98036249,11.73492917,9.966622193,5.843297385,15.59404118,14.13138316,40.08488477,18.61199668,23.02933389,38.49750575,18.96385463,16.60479415
NT5C1A,NM_001085502,0,0,0,0,0,0,0,0,0,0,0,0,0,2.326499585,0,0,0,0
BMS1,NM_194339,6.889645335,8.791922162,17.90111003,14.57691461,1.879228121,3.708126834,0,13.54030289,30.8965288,20.45154085,12.47523295,17.15953669,8.252770394,5.816248963,11.79551248,4.646250694,9.481927315,13.28383532
C1RB,NM_001113356,2.755858134,4.395961081,2.131084528,4.603236193,1.879228121,0.463515854,0.63000788,11.28358574,2.989986658,8.034533904,17.1534453,13.12199865,8.252770394,4.362186722,5.336065169,11.61562673,12.958634,3.874451968
BAT1A,NM_019693,56.49509175,54.94951351,80.98121205,160.3460607,65.77298425,67.67331472,46.62058313,46.93971668,188.3691595,260.0267336,101.8810691,112.0416808,97.85427753,106.437356,99.98101054,82.96876239,151.710837,148.3361611
ADD3,NM_001164099,275.5858134,204.4121903,231.0095628,145.7691461,17.85266715,12.05141221,229.3228684,318.6484613,10.96328441,21.91236519,7.277219219,18.16892121,11.78967199,22.68337095,38.75668386,15.26625228,101.140558,86.34492958
MIR23A,NR_029740,0,0,0,0,0,0,0,0,0,0,0,0,1.178967199,0.581624896,2.808455352,0,0,6.64191766
MIR34A,NR_029751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581624896,3.370146423,0,0.632128488,35.42356085
FDPS,NM_134469,31.11823143,42.49429045,42.47961825,32.73412404,36.95815306,8.343285376,28.56035723,40.62090867,24.41822437,10.71271187,21.7450241,10.68265275,91.36995793,65.6266758,57.76056508,33.35344248,48.41050668,51.93610615
FRG1,NM_013522,86.80953122,74.73133838,31.54005101,64.4453067,55.6721331,35.22720492,70.56088257,53.70986813,44.84979987,29.21648692,40.0247057,34.82376564,16.50554079,32.57099419,26.39948031,26.55000396,42.98473716,67.52616288
FAM54B,NM_029759,63.38473708,138.472774,47.73629342,51.40280415,68.59182643,77.87066351,40.32050433,27.98329264,56.8097465,23.37318954,30.14847962,94.88214407,68.38009755,38.38724315,49.99050527,39.16125585,43.61686565,46.49342362
OSTB,NM_178933,0,0,0,0,0,0,0,0,0,0,0,0,5.894835996,3.489749378,16.85073211,5.310000793,0,0
PSMD14,NM_021526,37.20408481,54.94951351,62.22766821,72.88457305,54.49761552,22.248761,41.58052009,47.84240354,47.83978653,19.72112867,40.54450708,60.56307068,71.32751555,74.15717427,93.80240876,79.98188694,53.09879296,54.24232756
TMEM9,NM_001160145,1.377929067,0,4.262169055,2.301618096,33.82610619,26.88391955,30.24037825,9.026868593,16.94325773,14.60824346,21.83165766,16.15015218,21.22140958,20.35687137,10.11043927,19.24875287,8.849798827,2.213972553
RCBTB2,NM_001170694,27.55858134,30.77172757,51.99846248,63.67810067,247.118498,167.7927392,78.12097714,30.69135322,35.8798399,18.9907165,104.9998773,123.1449104,155.6236703,209.3849627,218.4978264,191.8237786,84.70521735,108.4846551
MALT1,NM_172833,13.77929067,21.9798054,18.75354384,19.1801508,13.15459685,16.68657075,13.86017336,11.73492917,8.969959974,1.460824346,5.198013728,5.046922557,17.68450799,8.724373444,10.67213034,10.62000159,8.849798827,6.64191766
RPL14,NM_025974,262.4954873,264.8566551,821.319977,681.2789565,460.8806968,509.8674397,777.4297241,524.4610652,433.0497343,587.2513872,747.9941754,290.7027393,1349.917443,1185.545414,1120.573686,1456.267717,883.3995615,987.9852519
GREB1,NM_015764,0,0,0,0,0,0,0,0,0,0,0,0,1.178967199,1.744874689,0.56169107,4.646250694,0,0
SRA1,NM_001164406,139.1708358,164.8485405,108.259094,135.0282617,46.04108898,81.57879035,89.46111898,157.0675135,83.71962642,59.8937982,114.356302,109.0135272,108.4649823,137.8451004,115.1466694,90.27001348,95.45140164,78.59602565
TREM1,NM_021406,101.966751,204.4121903,1.704867622,0.767206032,0,0,0,0,4.983311097,0,1.039602746,0,0,2.326499585,2.808455352,1.991250297,28.44578194,54.24232756
SLC5A8,NM_145423,0,0,0,0,0,0,1.26001576,0,0,1.460824346,0,0,8.252770394,11.63249793,0.56169107,0,0,0
MARK2,NM_001080389,509.8337548,406.6264,127.8650717,137.3298798,74.2295108,43.5704903,63.00078801,55.06389842,223.2523371,391.5009248,214.1581656,134.24814,100.2122119,65.72361328,135.929239,47.79000713,229.462641,276.7465692
D030028A08RIK,NR_003293,13.77929067,0,2.557301433,2.301618096,28.18842182,25.95688784,5.040063041,14.44298975,9.966622193,14.60824346,12.47523295,10.09384511,5.894835996,2.326499585,14.60396783,9.292501387,8.849798827,8.855890214
CYP11A1,NM_019779,2.755858134,0,0,0,0,0,0,0,0,0,0,4.037538046,0,0,0,0,0,0
F10,NM_007972,27.55858134,28.57374703,263.4020476,290.7710862,0.939614061,0,886.4210873,686.4933565,0.996662219,21.91236519,35.34649335,3.028153534,33.01108158,23.41040207,4.493528564,2.655000396,357.1525955,313.2771163
PLCH1,NM_001177732,0,0,0,0,0,0,0,0,0,0,0,0,1.178967199,0,0.56169107,0,0,0
CTLA2A,NM_007796,4.133787201,10.9899027,0,0,4.698070304,0,0,0,11.95994663,30.67731127,7.277219219,30.28153534,2.357934398,0,0.56169107,2.655000396,15.1710837,15.49780787
PDE4A,NM_019798,15.15721974,8.791922162,18.75354384,16.11132667,13.15459685,11.1243805,5.040063041,5.416121156,60.79639538,45.28555473,43.66331531,29.27215083,11.78967199,8.724373444,19.65918747,11.94750178,34.76706682,22.13972553
PYGO2,NM_026869,73.03024055,49.45456216,44.32655818,55.23883431,37.58456243,76.9436318,42.84053585,61.38270643,47.83978653,48.20720343,31.18808237,19.17830572,68.38009755,36.64236846,47.18204992,50.44500753,125.1614406,69.74013543
OPRM1,NM_001039652,109.7487694,82.6911679,241.7603768,312.2081014,269.9869145,234.1637951,202.4845327,84.19274366,143.9488735,190.7940941,291.7496591,88.16493048,528.6208215,568.4164718,561.9558677,604.1485009,313.2309536,266.6940795
FAM40B,NM_177204,0,0,0,0,0,0,0,0,0,0,0,0,0,1.744874689,2.246764282,0,1.896385463,0
DAB2,NM_023118,1.377929067,0,0,0,3.758456243,10.19734879,84.42105594,64.99345387,5.979973316,0,48.86132904,90.84460603,220.4668662,207.0584631,49.99050527,110.1825164,120.1044127,126.1964355
1110057K04RIK,NM_001167768,0,0,0,0,3.758456243,0,0,0,0.996662219,1.460824346,1.039602746,0,0,0,0,0,0,0
CTNNB1,NM_007614,34.44822668,50.55355243,77.57147681,69.04854289,104.2971607,105.6816148,104.5813081,131.7922815,50.82977319,70.11956862,59.2573565,89.83522152,84.88563834,81.42748548,97.73424626,93.58876397,161.1927644,167.1549278
8430408G22RIK,NM_001166580,0,0,5.967036677,13.80970858,6.577298425,2.781095125,34.02042553,11.73492917,1.993324439,16.06906781,18.71284942,1.009384511,4.715868797,6.397873859,20.22087854,15.26625228,25.91726799,8.855890214
2310003L22RIK,NM_027093,0,0,4.262169055,6.137648257,17.85266715,12.97844392,0,4.513434296,7.973297755,4.382473039,11.4356302,27.25338181,3.536901597,5.234624066,13.48058569,19.24875287,17.69959765,12.17684904
PCDHGA9,NM_033592,1.377929067,0,0,3.836030161,47.9203171,74.16253668,15.12018912,2.708060578,8.969959974,13.14741912,10.39602746,21.19707474,12.96863919,2.908124481,22.46764282,31.19625466,11.37831278,7.748903937
LRPPRC,NM_028233,9.645503469,4.395961081,27.90300008,19.33359201,31.24216752,28.9233893,23.18428999,27.26114315,12.35861152,27.17133284,19.33661107,21.60082854,18.86347519,17.21609693,20.89490782,15.88575237,28.44578194,12.84104081
FANCE,NR_028296,13.77929067,10.9899027,23.0157129,16.11132667,42.28263273,13.90547563,8.820110322,2.708060578,16.94325773,36.52060866,22.8712604,10.09384511,22.40037678,31.4077444,16.85073211,20.57625307,19.59598312,23.24671181
LAPTM4A,NM_008640,130.9032614,149.4626768,271.0739519,274.6597595,453.8335913,569.197469,522.9065405,564.1792871,344.8451279,265.870031,293.1679743,425.9602638,383.1643397,506.0136598,475.7523367,521.7075779,373.5879362,327.6679379
RGNEF,NM_012026,0,0,0,0,0,0,0,0,0,0,0,0,3.536901597,5.234624066,3.931837493,0,0,0
